Distance,Cross level,Curvature,Lateral,Vertical,Gauge
433.75,-0.93,0.003,-0.942,-1.591,-0.813
434.0,-0.984,0.003,-0.964,-1.484,-0.779
434.25,-0.997,0.003,-0.993,-1.335,-0.547
434.5,-1.01,0.003,-1.023,-1.186,-0.315
434.75,-1.03,0.003,-0.967,-1.088,-0.387
435.0,-1.049,0.003,-0.911,-0.989,-0.458
435.25,-0.98,0.003,-0.901,-0.858,-0.629
435.5,-0.912,0.003,-0.892,-0.727,-0.799
435.75,-0.845,0.004,-1.041,-0.689,-0.693
436.0,-0.778,0.005,-1.191,-0.652,-0.587
436.25,-0.881,0.005,-1.169,-0.635,-0.658
436.5,-0.983,0.005,-1.148,-0.619,-0.73
436.75,-1.037,0.006,-1.135,-0.68,-0.645
437.0,-1.09,0.007,-1.123,-0.741,-0.56
437.25,-1.07,0.007,-1.091,-0.795,-0.393
437.5,-1.05,0.007,-1.06,-0.848,-0.226
437.75,-1.021,0.007,-1.012,-0.895,-0.287
438.0,-0.992,0.007,-0.964,-0.941,-0.349
438.25,-0.829,0.007,-0.98,-0.969,-0.451
438.5,-0.666,0.007,-0.996,-0.997,-0.553
438.75,-0.633,0.007,-0.915,-0.909,-0.482
439.0,-0.6,0.007,-0.835,-0.821,-0.412
439.25,-0.649,0.007,-0.59,-0.526,-0.328
439.5,-0.697,0.007,-0.344,-0.23,-0.245
439.75,-0.753,0.007,-0.283,0.058,-0.232
440.0,-0.807,0.007,-0.222,0.347,-0.219
440.25,-0.749,0.007,0.027,0.729,-0.174
440.5,-0.69,0.007,0.275,1.112,-0.129
440.75,-0.621,0.007,0.212,1.356,-0.09
441.0,-0.551,0.007,0.149,1.6,-0.05
441.25,-0.732,0.007,0.206,1.876,-0.051
441.5,-0.913,0.007,0.264,2.151,-0.052
441.75,-0.941,0.006,0.224,2.38,0.016
442.0,-0.969,0.005,0.184,2.609,0.083
442.25,-0.881,0.005,0.351,2.769,0.032
442.5,-0.794,0.005,0.517,2.929,-0.019
442.75,-0.615,0.005,0.794,3.039,0.044
443.0,-0.436,0.005,1.072,3.15,0.106
443.25,-0.159,0.005,1.003,3.097,0.161
443.5,0.118,0.005,0.934,3.044,0.215
443.75,0.311,0.005,1.141,2.936,0.258
444.0,0.504,0.005,1.347,2.827,0.3
444.25,0.665,0.005,1.329,2.717,0.167
444.5,0.827,0.005,1.31,2.606,0.033
444.75,0.874,0.005,1.236,2.541,-0.054
445.0,0.922,0.005,1.16,2.476,-0.142
445.25,0.883,0.005,1.192,2.481,-0.106
445.5,0.845,0.005,1.224,2.486,-0.071
445.75,0.796,0.005,1.192,2.457,-0.192
446.0,0.748,0.005,1.159,2.428,-0.314
446.25,0.72,0.005,1.123,2.415,-0.241
446.5,0.693,0.005,1.087,2.403,-0.168
446.75,0.653,0.003,0.809,2.365,-0.069
447.0,0.614,0.002,0.532,2.327,0.029
447.25,0.59,0.002,0.36,2.372,0.161
447.5,0.565,0.002,0.188,2.416,0.293
447.75,0.545,0.002,0.187,2.587,0.357
448.0,0.525,0.002,0.186,2.757,0.42
448.25,0.508,0.002,0.176,2.947,0.378
448.5,0.491,0.002,0.166,3.136,0.336
448.75,0.45,0.002,0.392,3.268,0.343
449.0,0.409,0.002,0.618,3.4,0.35
449.25,0.357,0.002,0.599,3.36,0.196
449.5,0.304,0.002,0.58,3.319,0.042
449.75,0.159,0.002,0.547,3.224,0.163
450.0,0.016,0.002,0.512,3.128,0.283
450.25,-0.301,0.002,0.458,2.926,0.392
450.5,-0.618,0.002,0.405,2.724,0.501
450.75,-0.737,0.002,0.504,2.504,0.386
451.0,-0.856,0.002,0.602,2.284,0.271
451.25,-0.692,0.002,0.759,2.043,0.178
451.5,-0.528,0.002,0.916,1.803,0.085
451.75,-0.455,0.001,0.818,1.471,0.044
452.0,-0.382,0.0,0.719,1.139,0.004
452.25,-0.273,0.0,0.502,0.791,0.015
452.5,-0.165,0.0,0.286,0.443,0.026
452.75,-0.116,0.0,0.02,0.162,-0.03
453.0,-0.067,0.0,-0.245,-0.119,-0.087
453.25,-0.142,0.0,-0.27,-0.3,-0.075
453.5,-0.218,0.0,-0.295,-0.482,-0.063
453.75,-0.3,0.0,-0.412,-0.523,-0.168
454.0,-0.382,0.0,-0.53,-0.565,-0.273
454.25,-0.557,0.0,-0.603,-0.683,-0.201
454.5,-0.732,0.0,-0.677,-0.801,-0.129
454.75,-0.749,0.0,-0.802,-0.878,-0.028
455.0,-0.765,0.0,-0.928,-0.953,0.073
455.25,-0.863,0.0,-1.025,-1.218,0.187
455.5,-0.96,0.0,-1.121,-1.483,0.3
455.75,-0.933,0.0,-0.954,-1.643,0.415
456.0,-0.905,0.0,-0.786,-1.804,0.53
456.25,-0.704,0.0,-0.639,-2.019,0.561
456.5,-0.504,0.0,-0.492,-2.234,0.592
456.75,-0.411,0.0,-0.303,-2.403,0.489
457.0,-0.319,0.0,-0.115,-2.572,0.385
457.25,-0.166,0.0,-0.211,-2.826,0.179
457.5,-0.014,0.0,-0.307,-3.079,-0.027
457.75,0.11,0.0,-0.362,-3.421,-0.168
458.0,0.234,0.0,-0.418,-3.764,-0.309
458.25,0.273,0.0,-0.276,-4.091,-0.426
458.5,0.313,0.0,-0.133,-4.418,-0.542
458.75,0.235,0.0,-0.183,-4.635,-0.497
459.0,0.156,0.0,-0.233,-4.852,-0.451
459.25,0.046,0.0,-0.249,-4.898,-0.321
459.5,-0.064,0.0,-0.266,-4.944,-0.191
459.75,-0.107,0.0,-0.236,-4.879,-0.167
460.0,-0.148,0.0,-0.208,-4.814,-0.144
460.25,-0.157,0.0,-0.276,-4.725,-0.329
460.5,-0.165,0.0,-0.344,-4.636,-0.513
460.75,-0.271,0.0,-0.22,-4.461,-0.368
461.0,-0.376,0.0,-0.095,-4.287,-0.223
461.25,-0.343,0.0,-0.052,-3.981,-0.11
461.5,-0.31,0.0,-0.009,-3.675,0.002
461.75,-0.318,0.0,0.313,-3.206,0.102
462.0,-0.327,0.0,0.635,-2.738,0.203
462.25,-0.384,0.0,0.761,-2.313,0.305
462.5,-0.441,0.0,0.887,-1.888,0.408
462.75,-0.424,0.0,0.897,-1.596,0.505
463.0,-0.408,0.0,0.907,-1.303,0.602
463.25,-0.299,0.0,1.012,-1.169,0.558
463.5,-0.19,0.0,1.118,-1.034,0.514
463.75,-0.131,0.0,1.059,-1.112,0.57
464.0,-0.072,0.0,1.0,-1.19,0.626
464.25,-0.01,0.0,1.085,-1.257,0.731
464.5,0.053,0.0,1.169,-1.325,0.835
464.75,0.192,0.0,1.186,-1.409,0.711
465.0,0.333,0.0,1.203,-1.492,0.587
465.25,0.373,0.0,1.235,-1.606,0.484
465.5,0.413,0.0,1.267,-1.72,0.38
465.75,0.34,0.0,1.164,-1.867,0.265
466.0,0.268,0.0,1.062,-2.014,0.15
466.25,0.164,0.0,0.837,-1.968,0.033
466.5,0.061,0.0,0.612,-1.923,-0.084
466.75,-0.101,0.0,0.751,-1.752,0.011
467.0,-0.262,0.0,0.889,-1.58,0.107
467.25,-0.352,0.0,1.087,-1.271,0.302
467.5,-0.442,0.0,1.284,-0.961,0.496
467.75,-0.502,0.0,1.37,-0.564,0.732
468.0,-0.562,0.0,1.455,-0.167,0.968
468.25,-0.563,0.0,1.39,0.197,1.171
468.5,-0.564,0.0,1.326,0.562,1.375
468.75,-0.41,0.0,1.25,0.679,1.458
469.0,-0.255,0.0,1.175,0.797,1.542
469.25,-0.052,0.0,1.201,0.959,1.379
469.5,0.151,0.0,1.226,1.12,1.217
469.75,0.292,0.0,1.234,1.19,1.008
470.0,0.434,0.0,1.24,1.261,0.799
470.25,0.512,0.0,1.243,1.391,0.77
470.5,0.59,0.0,1.247,1.522,0.741
470.75,0.653,0.0,1.031,1.608,0.65
471.0,0.716,0.0,0.815,1.694,0.559
471.25,0.619,0.0,0.558,1.792,0.509
471.5,0.521,0.0,0.302,1.89,0.458
471.75,0.512,0.0,0.044,1.956,0.384
472.0,0.504,0.0,-0.214,2.021,0.31
472.25,0.413,0.0,-0.201,2.112,0.416
472.5,0.323,0.0,-0.189,2.202,0.523
472.75,0.189,0.0,-0.178,2.402,0.433
473.0,0.056,0.0,-0.167,2.603,0.343
473.25,-0.056,0.0,-0.339,2.884,0.399
473.5,-0.167,0.0,-0.511,3.166,0.455
473.75,-0.057,0.0,-0.54,3.381,0.357
474.0,0.054,0.0,-0.569,3.597,0.258
474.25,0.179,0.0,-0.621,3.691,0.191
474.5,0.305,0.0,-0.673,3.786,0.124
474.75,0.453,0.0,-0.67,3.887,0.101
475.0,0.603,0.0,-0.667,3.987,0.078
475.25,0.766,0.0,-0.735,4.01,0.179
475.5,0.93,0.0,-0.803,4.033,0.28
475.75,1.109,0.0,-0.969,4.022,0.171
476.0,1.288,0.0,-1.135,4.012,0.063
476.25,1.277,0.0,-1.143,3.935,-0.024
476.5,1.266,0.0,-1.151,3.858,-0.112
476.75,1.259,0.0,-1.306,3.666,-0.311
477.0,1.252,0.0,-1.462,3.473,-0.511
477.25,1.063,0.0,-1.486,3.349,-0.596
477.5,0.874,0.0,-1.51,3.225,-0.682
477.75,0.706,0.0,-1.557,3.061,-0.806
478.0,0.539,0.0,-1.605,2.896,-0.929
478.25,0.334,0.0,-1.608,2.714,-1.095
478.5,0.128,0.0,-1.612,2.533,-1.261
478.75,0.086,0.0,-1.716,2.537,-1.48
479.0,0.043,0.0,-1.819,2.542,-1.699
479.25,0.065,0.0,-1.8,2.445,-1.621
479.5,0.087,0.0,-1.78,2.347,-1.542
479.75,0.213,0.0,-1.805,2.297,-1.427
480.0,0.341,0.0,-1.83,2.247,-1.313
480.25,0.561,0.0,-1.807,2.111,-1.143
480.5,0.781,0.0,-1.783,1.976,-0.972
480.75,0.944,0.0,-1.806,1.871,-0.987
481.0,1.108,0.0,-1.829,1.767,-1.001
481.25,1.126,0.0,-1.636,1.605,-0.999
481.5,1.145,0.0,-1.444,1.444,-0.996
481.75,1.228,0.0,-1.425,1.255,-1.002
482.0,1.311,0.0,-1.407,1.066,-1.008
482.25,1.22,0.0,-1.373,0.789,-0.947
482.5,1.129,0.0,-1.339,0.511,-0.886
482.75,1.162,0.0,-1.266,0.16,-0.886
483.0,1.195,0.0,-1.194,-0.191,-0.885
483.25,1.109,0.0,-1.062,-0.637,-0.963
483.5,1.022,0.0,-0.931,-1.083,-1.04
483.75,0.873,0.0,-0.94,-1.425,-1.057
484.0,0.724,0.0,-0.949,-1.767,-1.073
484.25,0.55,0.0,-0.967,-2.161,-1.118
484.5,0.376,0.0,-0.985,-2.556,-1.162
484.75,0.221,0.0,-0.977,-2.908,-1.146
485.0,0.068,0.0,-0.97,-3.26,-1.13
485.25,0.22,0.0,-0.974,-3.634,-1.174
485.5,0.371,0.0,-0.978,-4.007,-1.219
485.75,0.658,0.0,-0.915,-4.245,-1.169
486.0,0.944,0.0,-0.851,-4.484,-1.12
486.25,1.147,0.0,-0.765,-4.788,-0.872
486.5,1.349,0.0,-0.679,-5.092,-0.625
486.75,1.594,0.0,-0.611,-5.094,-0.506
487.0,1.84,0.0,-0.544,-5.096,-0.387
487.25,1.916,0.0,-0.505,-5.035,-0.411
487.5,1.991,0.0,-0.467,-4.974,-0.434
487.75,2.011,0.0,-0.397,-4.789,-0.394
488.0,2.031,0.0,-0.327,-4.604,-0.354
488.25,1.88,0.0,-0.174,-4.378,-0.258
488.5,1.729,0.0,-0.021,-4.151,-0.161
488.75,1.404,0.0,0.15,-3.985,0.147
489.0,1.078,0.0,0.321,-3.818,0.454
489.25,0.682,0.0,0.424,-3.726,0.453
489.5,0.286,0.0,0.528,-3.635,0.451
489.75,-0.226,0.0,0.695,-3.601,0.323
490.0,-0.737,0.0,0.862,-3.567,0.194
490.25,-1.103,0.0,1.012,-3.535,-0.075
490.5,-1.469,0.0,1.161,-3.504,-0.344
490.75,-1.662,0.0,1.23,-3.568,-0.168
491.0,-1.855,0.0,1.298,-3.633,0.007
491.25,-1.789,0.0,1.284,-3.718,0.02
491.5,-1.723,0.0,1.269,-3.804,0.033
491.75,-1.651,0.0,1.28,-3.822,0.135
492.0,-1.58,0.0,1.29,-3.841,0.237
492.25,-1.265,0.0,1.314,-3.781,0.078
492.5,-0.951,0.0,1.337,-3.722,-0.082
492.75,-0.801,0.0,1.351,-3.431,0.127
493.0,-0.652,0.0,1.365,-3.14,0.335
493.25,-0.554,0.0,1.266,-2.625,0.555
493.5,-0.456,0.0,1.167,-2.111,0.776
493.75,-0.529,0.0,1.264,-1.534,1.044
494.0,-0.601,0.0,1.36,-0.957,1.312
494.25,-0.568,0.0,1.336,-0.224,1.29
494.5,-0.535,0.0,1.311,0.51,1.268
494.75,-0.853,0.0,1.337,1.155,1.313
495.0,-1.169,0.0,1.362,1.801,1.358
495.25,-1.613,0.0,1.494,2.497,1.259
495.5,-2.056,0.0,1.626,3.194,1.161
495.75,-2.474,0.0,1.728,3.671,1.272
496.0,-2.891,0.0,1.829,4.148,1.384
496.25,-2.952,0.0,1.883,4.404,1.397
496.5,-3.013,0.0,1.937,4.661,1.41
496.75,-3.057,0.0,1.872,4.534,1.327
497.0,-3.101,0.0,1.807,4.407,1.243
497.25,-2.785,0.0,1.657,3.975,1.032
497.5,-2.469,0.0,1.507,3.542,0.82
497.75,-2.258,0.0,1.326,2.965,0.771
498.0,-2.047,0.0,1.145,2.388,0.722
498.25,-1.768,0.0,0.98,2.025,0.759
498.5,-1.49,0.0,0.815,1.662,0.795
498.75,-1.428,0.0,0.839,1.417,0.785
499.0,-1.366,0.0,0.863,1.172,0.774
499.25,-1.229,0.0,0.786,1.225,0.824
499.5,-1.092,0.0,0.709,1.277,0.874
499.75,-1.013,0.0,0.753,1.456,1.07
500.0,-0.932,0.0,0.796,1.636,1.265
500.25,-1.024,0.0,0.756,2.09,1.318
500.5,-1.116,0.0,0.715,2.544,1.372
500.75,-1.478,0.0,0.831,3.002,1.378
501.0,-1.839,0.0,0.948,3.459,1.384
501.25,-2.146,0.0,1.021,3.903,1.441
501.5,-2.454,0.0,1.094,4.347,1.498
501.75,-2.766,0.0,1.146,4.411,1.302
502.0,-3.078,0.0,1.198,4.476,1.107
502.25,-3.27,0.0,1.254,4.366,1.004
502.5,-3.462,0.0,1.311,4.257,0.902
502.75,-3.455,0.0,1.165,3.86,0.755
503.0,-3.448,0.0,1.019,3.463,0.608
503.25,-3.085,0.0,0.94,3.034,0.342
503.5,-2.722,0.0,0.861,2.606,0.076
503.75,-2.418,0.0,0.712,2.199,-0.05
504.0,-2.115,0.0,0.564,1.792,-0.175
504.25,-1.872,0.0,0.375,1.523,-0.086
504.5,-1.628,0.0,0.185,1.253,0.003
504.75,-1.295,0.0,0.065,1.108,0.044
505.0,-0.96,0.0,-0.056,0.963,0.084
505.25,-0.723,0.0,-0.205,1.005,0.174
505.5,-0.486,0.0,-0.354,1.047,0.264
505.75,-0.45,0.0,-0.305,1.231,0.214
506.0,-0.414,0.0,-0.256,1.415,0.163
506.25,-0.418,0.0,-0.393,1.858,0.113
506.5,-0.421,0.0,-0.53,2.302,0.063
506.75,-0.47,0.0,-0.488,2.535,0.04
507.0,-0.519,0.0,-0.446,2.768,0.017
507.25,-0.659,0.0,-0.321,2.935,0.136
507.5,-0.799,0.0,-0.196,3.102,0.255
507.75,-0.88,0.0,-0.113,2.968,0.213
508.0,-0.96,0.0,-0.031,2.834,0.171
508.25,-0.894,0.0,0.011,2.496,0.136
508.5,-0.829,0.0,0.052,2.157,0.101
508.75,-0.593,0.001,-0.045,1.807,-0.062
509.0,-0.358,0.002,-0.141,1.457,-0.226
509.25,-0.331,0.002,-0.171,0.931,-0.218
509.5,-0.304,0.002,-0.2,0.405,-0.209
509.75,-0.016,0.002,-0.38,-0.126,-0.223
510.0,0.274,0.002,-0.561,-0.657,-0.238
510.25,0.507,0.002,-0.727,-1.324,-0.148
510.5,0.739,0.002,-0.893,-1.991,-0.059
510.75,1.101,0.002,-0.932,-2.539,-0.217
511.0,1.462,0.002,-0.971,-3.088,-0.375
511.25,1.438,0.002,-1.183,-3.498,-0.544
511.5,1.414,0.002,-1.395,-3.909,-0.713
511.75,1.544,0.002,-1.394,-4.117,-0.669
512.0,1.674,0.002,-1.394,-4.326,-0.626
512.25,1.657,0.002,-1.408,-4.213,-0.486
512.5,1.64,0.002,-1.421,-4.1,-0.347
512.75,1.65,0.002,-1.317,-3.906,-0.282
513.0,1.66,0.002,-1.213,-3.712,-0.217
513.25,1.601,0.002,-1.182,-3.409,-0.042
513.5,1.543,0.002,-1.152,-3.106,0.132
513.75,1.66,0.003,-1.144,-2.853,0.101
514.0,1.778,0.005,-1.137,-2.6,0.07
514.25,1.817,0.005,-0.857,-2.338,0.037
514.5,1.855,0.005,-0.578,-2.075,0.004
514.75,1.962,0.005,-0.581,-1.747,-0.142
515.0,2.07,0.005,-0.585,-1.418,-0.289
515.25,2.085,0.005,-0.589,-1.198,-0.184
515.5,2.101,0.005,-0.594,-0.977,-0.078
515.75,2.34,0.005,-0.667,-0.83,-0.153
516.0,2.579,0.005,-0.741,-0.683,-0.227
516.25,2.445,0.005,-0.742,-0.888,-0.405
516.5,2.31,0.005,-0.743,-1.093,-0.583
516.75,2.23,0.005,-0.719,-1.129,-0.535
517.0,2.15,0.005,-0.695,-1.165,-0.487
517.25,2.176,0.005,-0.637,-1.09,-0.437
517.5,2.202,0.005,-0.578,-1.014,-0.388
517.75,2.221,0.005,-0.45,-0.837,-0.403
518.0,2.239,0.005,-0.321,-0.66,-0.418
518.25,2.084,0.005,-0.316,-0.586,-0.34
518.5,1.928,0.005,-0.311,-0.512,-0.262
518.75,1.928,0.006,-0.345,-0.528,-0.245
519.0,1.928,0.007,-0.379,-0.544,-0.227
519.25,2.039,0.007,-0.267,-0.661,-0.267
519.5,2.149,0.007,-0.155,-0.779,-0.306
519.75,2.262,0.007,-0.21,-0.928,-0.28
520.0,2.377,0.007,-0.267,-1.076,-0.254
520.25,2.455,0.006,-0.222,-1.126,-0.168
520.5,2.533,0.005,-0.177,-1.176,-0.083
520.75,2.626,0.005,-0.349,-1.092,-0.113
521.0,2.718,0.005,-0.521,-1.009,-0.142
521.25,2.755,0.005,-0.45,-1.041,-0.095
521.5,2.792,0.005,-0.38,-1.073,-0.047
521.75,2.661,0.005,-0.526,-0.954,-0.043
522.0,2.529,0.005,-0.672,-0.836,-0.039
522.25,2.377,0.005,-0.866,-0.824,-0.047
522.5,2.225,0.005,-1.06,-0.811,-0.055
522.75,2.097,0.005,-1.118,-0.659,-0.133
523.0,1.968,0.005,-1.175,-0.507,-0.21
523.25,1.649,0.005,-1.121,-0.487,-0.221
523.5,1.331,0.005,-1.067,-0.468,-0.231
523.75,1.102,0.004,-0.937,-0.439,-0.243
524.0,0.873,0.003,-0.808,-0.409,-0.255
524.25,0.824,0.003,-0.764,-0.447,-0.288
524.5,0.774,0.003,-0.72,-0.485,-0.32
524.75,0.701,0.003,-0.563,-0.731,-0.343
525.0,0.628,0.003,-0.407,-0.977,-0.367
525.25,0.65,0.002,-0.292,-1.189,-0.328
525.5,0.671,0.0,-0.178,-1.4,-0.29
525.75,0.552,0.0,-0.153,-1.537,-0.43
526.0,0.433,0.0,-0.129,-1.675,-0.57
526.25,0.512,0.0,0.05,-1.68,-0.301
526.5,0.592,0.0,0.23,-1.686,-0.032
526.75,0.498,0.0,0.36,-1.49,0.071
527.0,0.403,0.0,0.49,-1.295,0.174
527.25,0.248,0.0,0.356,-1.018,0.219
527.5,0.093,0.0,0.223,-0.741,0.264
527.75,-0.096,0.0,0.112,-0.416,0.28
528.0,-0.285,0.0,0.001,-0.091,0.297
528.25,-0.42,0.0,-0.019,0.212,0.22
528.5,-0.555,0.0,-0.039,0.515,0.144
528.75,-0.827,-0.005,-0.075,0.85,0.213
529.0,-1.098,-0.01,-0.111,1.185,0.283
529.25,-1.307,-0.01,-0.27,1.526,0.158
529.5,-1.515,-0.01,-0.428,1.867,0.032
529.75,-1.738,-0.01,-0.363,2.038,0.005
530.0,-1.96,-0.01,-0.298,2.21,-0.023
530.25,-2.025,-0.011,-0.169,2.269,-0.192
530.5,-2.09,-0.012,-0.04,2.329,-0.36
530.75,-2.158,-0.012,0.105,2.142,-0.28
531.0,-2.226,-0.012,0.25,1.956,-0.2
531.25,-1.902,-0.012,0.232,1.939,-0.127
531.5,-1.579,-0.012,0.215,1.922,-0.053
531.75,-1.335,-0.012,0.416,1.82,0.106
532.0,-1.091,-0.012,0.617,1.717,0.265
532.25,-0.923,-0.012,0.682,1.632,0.332
532.5,-0.756,-0.012,0.746,1.546,0.4
532.75,-0.747,-0.012,0.779,1.429,0.553
533.0,-0.738,-0.012,0.813,1.311,0.707
533.25,-0.69,-0.012,0.902,1.14,0.51
533.5,-0.642,-0.012,0.991,0.969,0.314
533.75,-0.727,-0.013,0.978,0.899,0.168
534.0,-0.812,-0.014,0.965,0.829,0.022
534.25,-0.984,-0.014,0.709,0.802,-0.077
534.5,-1.155,-0.014,0.454,0.775,-0.176
534.75,-1.349,-0.014,0.396,0.906,-0.141
535.0,-1.543,-0.014,0.337,1.038,-0.107
535.25,-1.814,-0.013,0.257,0.972,-0.193
535.5,-2.085,-0.012,0.177,0.906,-0.278
535.75,-2.226,-0.012,0.341,0.757,-0.024
536.0,-2.367,-0.012,0.504,0.608,0.229
536.25,-2.308,-0.012,0.398,0.528,0.257
536.5,-2.249,-0.012,0.292,0.448,0.285
536.75,-2.088,-0.012,0.317,0.405,0.364
537.0,-1.927,-0.012,0.342,0.361,0.443
537.25,-1.737,-0.012,0.408,0.422,0.339
537.5,-1.548,-0.012,0.473,0.483,0.236
537.75,-1.352,-0.012,0.541,0.554,0.259
538.0,-1.157,-0.012,0.608,0.626,0.282
538.25,-0.903,-0.012,0.636,0.764,0.185
538.5,-0.65,-0.012,0.663,0.902,0.087
538.75,-0.482,-0.011,0.676,0.892,-0.123
539.0,-0.314,-0.01,0.689,0.881,-0.332
539.25,-0.2,-0.01,0.659,0.755,-0.355
539.5,-0.086,-0.01,0.63,0.629,-0.378
539.75,0.043,-0.01,0.512,0.685,-0.454
540.0,0.173,-0.01,0.393,0.742,-0.531
540.25,0.265,-0.005,0.322,0.67,-0.475
540.5,0.358,0.0,0.251,0.597,-0.419
540.75,0.295,0.0,0.096,0.471,-0.218
541.0,0.232,0.0,-0.058,0.346,-0.018
541.25,0.077,0.0,-0.195,0.113,0.016
541.5,-0.077,0.0,-0.332,-0.12,0.05
541.75,-0.133,0.0,-0.47,-0.348,-0.017
542.0,-0.188,0.0,-0.607,-0.576,-0.083
542.25,-0.221,0.0,-0.554,-0.866,-0.407
542.5,-0.254,0.0,-0.5,-1.156,-0.732
542.75,-0.069,0.0,-0.466,-1.2,-0.902
543.0,0.116,0.0,-0.432,-1.243,-1.072
543.25,0.243,0.0,-0.414,-1.149,-1.0
543.5,0.369,0.0,-0.396,-1.055,-0.928
543.75,0.472,0.002,-0.486,-1.015,-0.823
544.0,0.575,0.003,-0.576,-0.975,-0.718
544.25,0.608,0.003,-0.456,-1.034,-0.396
544.5,0.64,0.003,-0.336,-1.094,-0.074
544.75,0.714,0.003,-0.247,-1.095,-0.015
545.0,0.79,0.003,-0.158,-1.094,0.044
545.25,1.029,0.004,-0.094,-1.008,0.03
545.5,1.268,0.005,-0.029,-0.922,0.017
545.75,1.372,0.005,-0.088,-0.757,0.042
546.0,1.476,0.005,-0.146,-0.591,0.067
546.25,1.54,0.005,-0.057,-0.477,-0.041
546.5,1.605,0.005,0.032,-0.362,-0.149
546.75,1.594,0.005,-0.174,-0.273,-0.355
547.0,1.583,0.005,-0.381,-0.184,-0.561
547.25,1.641,0.005,-0.481,-0.205,-0.591
547.5,1.699,0.005,-0.581,-0.226,-0.621
547.75,1.756,0.005,-0.712,-0.217,-0.766
548.0,1.813,0.005,-0.842,-0.209,-0.91
548.25,1.81,0.005,-0.958,-0.181,-0.766
548.5,1.806,0.005,-1.075,-0.152,-0.621
548.75,1.861,0.006,-1.105,-0.074,-0.499
549.0,1.916,0.007,-1.136,0.005,-0.376
549.25,1.901,0.007,-1.02,0.009,-0.287
549.5,1.886,0.007,-0.904,0.013,-0.198
549.75,1.756,0.007,-0.778,-0.185,-0.205
550.0,1.628,0.007,-0.653,-0.382,-0.213
550.25,1.542,0.006,-0.614,-0.595,-0.151
550.5,1.456,0.005,-0.574,-0.808,-0.089
550.75,1.364,0.005,-0.452,-0.869,-0.24
551.0,1.272,0.005,-0.33,-0.93,-0.392
551.25,1.23,0.005,-0.019,-0.883,-0.433
551.5,1.188,0.005,0.291,-0.836,-0.475
551.75,1.15,0.005,0.434,-0.776,-0.466
552.0,1.111,0.005,0.576,-0.715,-0.457
552.25,0.987,0.005,0.623,-0.658,-0.121
552.5,0.862,0.005,0.669,-0.6,0.216
552.75,0.572,0.005,0.705,-0.542,0.225
553.0,0.282,0.005,0.742,-0.485,0.234
553.25,0.08,0.005,0.55,-0.507,0.283
553.5,-0.123,0.005,0.358,-0.529,0.333
553.75,-0.115,0.005,0.383,-0.447,0.483
554.0,-0.107,0.005,0.409,-0.365,0.634
554.25,0.077,0.005,0.483,-0.156,0.566
554.5,0.26,0.005,0.557,0.053,0.498
554.75,0.333,0.005,0.524,0.099,0.378
555.0,0.406,0.005,0.49,0.145,0.259
555.25,0.319,0.003,0.451,0.181,0.364
555.5,0.232,0.002,0.411,0.217,0.469
555.75,0.182,0.002,0.401,0.311,0.345
556.0,0.131,0.002,0.391,0.406,0.222
556.25,0.046,0.002,0.403,0.572,-0.009
556.5,-0.038,0.002,0.415,0.738,-0.239
556.75,-0.09,0.002,0.596,0.762,-0.332
557.0,-0.142,0.002,0.777,0.785,-0.425
557.25,-0.208,0.002,0.856,0.851,-0.333
557.5,-0.273,0.002,0.936,0.917,-0.241
557.75,-0.359,0.002,0.936,0.815,-0.237
558.0,-0.444,0.002,0.936,0.712,-0.234
558.25,-0.519,0.002,0.914,0.541,-0.241
558.5,-0.593,0.002,0.893,0.37,-0.248
558.75,-0.62,0.002,1.024,0.158,-0.147
559.0,-0.647,0.002,1.155,-0.055,-0.045
559.25,-0.64,0.002,1.271,-0.098,-0.084
559.5,-0.634,0.002,1.386,-0.141,-0.123
559.75,-0.5,0.002,1.285,-0.176,-0.02
560.0,-0.366,0.002,1.183,-0.211,0.083
560.25,-0.367,0.001,1.101,-0.143,0.233
560.5,-0.367,0.0,1.018,-0.074,0.384
560.75,-0.292,0.0,0.934,0.011,0.248
561.0,-0.216,0.0,0.85,0.096,0.113
561.25,-0.267,0.0,0.75,0.235,0.02
561.5,-0.317,0.0,0.65,0.375,-0.073
561.75,-0.389,0.0,0.619,0.509,-0.206
562.0,-0.461,0.0,0.588,0.644,-0.338
562.25,-0.5,0.0,0.554,0.807,-0.562
562.5,-0.539,0.0,0.521,0.97,-0.786
562.75,-0.566,0.0,0.403,1.025,-0.576
563.0,-0.593,0.0,0.285,1.08,-0.367
563.25,-0.64,0.0,0.317,1.048,-0.306
563.5,-0.686,0.0,0.348,1.016,-0.245
563.75,-0.792,0.0,0.372,0.822,-0.267
564.0,-0.897,0.0,0.396,0.627,-0.289
564.25,-0.951,0.0,0.369,0.415,-0.33
564.5,-1.005,0.0,0.341,0.202,-0.371
564.75,-0.979,0.0,0.369,0.053,-0.14
565.0,-0.951,0.0,0.397,-0.096,0.09
565.25,-0.902,0.0,0.338,-0.112,0.003
565.5,-0.853,0.0,0.278,-0.127,-0.085
565.75,-0.653,0.0,0.131,-0.194,-0.132
566.0,-0.453,0.0,-0.016,-0.26,-0.18
566.25,-0.308,0.0,-0.173,-0.246,-0.137
566.5,-0.163,0.0,-0.329,-0.231,-0.094
566.75,-0.072,0.0,-0.544,-0.184,-0.195
